Active,SKU,Existing QTY,New Qty
True,1138,0,0
True,1215,0,0
True,1216,0,0
True,1217,0,0
True,6381-Caribee,0,0
True,6381,0,0
True,63811,0,0
True,63812,0,0
True,63641-Caribee,0,0
True,63641,0,0
True,6364,0,0
True,6435-Caribee,0,0
True,6435,9,10
True,64351,10,10
True,6431-Cabriee,0,0
True,6431,0,0
True,64311,0,0
True,6429-Cabriee,0,0
True,6429,0,0
True,64291,0,0
True,64292,0,0
True,64293,0,0
True,6101-Cabriee,0,0
True,6101,0,0
True,61011,0,0
True,61012,0,0
True,6103-Cabriee,0,0
True,6103,0,0
True,61031,0,0
True,61032,0,0
True,1152-Cabriee,0,0
True,1152-PB,0,0
True,1152-NS,0,0
True,6309,10,10
True,6390-Cabriee,0,0
True,6390,0,0
True,63901,0,0
True,63902,0,0
True,6102-Cabriee,0,0
True,6102,0,0
True,61021,0,0
True,61022,0,0
True,6421BLK-Cabriee,0,0
True,6421BLK,10,10
True,6421NAV,10,10
True,6229-Cabriee,0,0
True,6229,0,0
True,62291,0,0
True,6230-Cabriee,0,0
True,6230,0,0
True,62301,10,10
True,62302,0,0
True,6444-Cabriee,-1,0
True,6444,0,0
True,64441,-1,0
True,64442,0,0
True,6105-Cabriee,0,0
True,6105,10,10
True,61051,10,10
True,61052,0,0
True,6100-Cabriee,-1,0
True,6100,-1,0
True,61001,0,0
True,61002,0,0
True,62521-Cabriee,0,0
True,62521,0,0
True,62522,0,0
True,62524,0,0
True,62525,0,0
True,6304-Cabriee,0,0
True,6304,0,0
True,63041,0,0
True,63043,0,0
True,6500,10,10
True,6305-Cabriee,0,0
True,6305,0,0
True,63051,0,0
True,63052,0,0
True,6470-Cabriee,-1,0
True,6470,0,0
True,64701,0,0
True,64702,0,0
True,64703,-1,0
True,6303BLK-Cabriee,10,0
True,6303BLK,10,10
True,6303NAV,0,0
True,6940,10,10
True,6475,0,0
True,6476,-7,10
True,11802,10,10
True,5801,10,10
True,6810,0,0
True,6380,0,0
True,6676-Caribee,0,0
True,6676,0,0
True,66761,0,0
True,6448,0,0
True,6385-Cabriee,0,0
True,6385,0,0
True,63851,0,0
True,6370-Cabriee,0,0
True,6370,10,10
True,6371,10,10
True,64152-Cabriee,0,0
True,64152,10,10
True,64151,10,10
True,6442BLK-Cabriee,0,0
True,6442BLK,10,10
True,6442NAV,10,10
True,6373-Cabriee,0,0
True,6373,0,0
True,63731,0,0
True,6452-Cabriee,0,0
True,6452,10,10
True,64521,10,10
True,6451-Cabriee,0,0
True,6451,0,0
True,64511,0,0
True,6433-Cabriee,0,0
True,6433,0,0
True,64331,0,0
True,64332,0,0
True,6423-Cabriee,0,0
True,6423,9,10
True,64231,10,10
True,64232,0,0
True,6456,0,0
True,1215-Caribee,0,0
True,6814-Caribee,0,0
True,6814,0,0
True,68141,0,0
True,6446,0,0
True,6445,0,0
True,6453,0,0
True,6262,0,0
True,69181-Caribee,0,0
True,69181,0,0
True,6918,0,0
True,6917,0,0
True,6916,0,0
True,6904-Caribee,0,0
True,6906,0,0
True,69061,0,0
True,6904,0,0
True,69041,0,0
True,6902-Caribee,0,0
True,6901,0,0
True,69021,0,0
True,6826-Caribee,20,0
True,6826,10,10
True,6824,10,10
True,6822-Caribee,0,0
True,6822,10,10
True,6820,10,10
True,6938-Caribee,0,0
True,6936,-1,0
True,69361,0,0
True,6938,0,0
True,69381,0,0
True,6805-Caribee,0,0
True,6806,0,0
True,68061,0,0
True,6805,0,0
True,68051,0,0
True,68081,0,0
True,6812-Caribee,0,0
True,6812,0,0
True,68121,0,0
True,6813-Caribee,0,0
True,6813,0,0
True,68131,0,0
True,5744,0,0
True,5735-Caribee,0,0
True,5735,0,0
True,57351,0,0
True,5740,10,10
True,57401,0,0
True,57402,10,10
True,5742,10,10
True,57421,0,0
True,57422,10,10
True,6460,10,10
True,6900-Caribee,0,0
True,6900,0,0
True,69001,0,0
True,6454,0,0
True,62601-Caribee,0,0
True,62601,0,0
True,6260,0,0
True,6324-Caribee,0,0
True,6324,10,10
True,63241,10,10
True,6325,0,0
True,6327,10,10
True,63145-Caribee,0,0
True,63145,10,10
True,63147,0,0
True,63144,10,10
True,63174,0,0
True,6322-Caribee,0,0
True,6322,0,0
True,63221,0,0
True,63210-Caribee,0,0
True,63210,9,10
True,63211,9,10
True,6318,0,0
True,6311-Caribee,0,0
True,6311,10,10
True,6310,0,0
True,6312,10,10
True,5680-Caribee,0,0
True,5680,10,10
True,56801,0,0
True,5691-Caribee,9,0
True,5691,9,10
True,56911,0,0
True,56912,0,0
True,5692,10,10
True,56921,0,0
True,56922,10,10
True,5694-Caribee,0,0
True,5694,0,0
True,56941,0,0
True,56942,0,0
True,5802BLK-Caribee,40,0
True,5802BLK,10,10
True,5802NAV,10,10
True,5803BLK,10,10
True,5804BLK,10,10
True,5730,10,10
